,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
205,,2.0,4.0,8.0,,,,4.0,,2.0,,,,,,,24,s
206,,2.0,4.0,8.0,,,,4.0,,,,2.0,2.0,,,,24,s
207,,2.0,4.0,8.0,,,,4.0,,,,2.0,,2.0,,2.0,24,w
208,2.0,4.0,8.0,,4.0,,,,2.0,,,,4.0,,4.0,,28,s
209,,2.0,4.0,8.0,,2.0,,4.0,,,,2.0,,,,8.0,36,w
210,2.0,4.0,8.0,,2.0,4.0,,,2.0,,,2.0,8.0,,,,36,s
211,,2.0,4.0,8.0,,,2.0,4.0,2.0,,,4.0,,,,8.0,40,s
212,,2.0,4.0,8.0,,,2.0,4.0,,2.0,2.0,4.0,,,,8.0,40,w
213,2.0,4.0,8.0,,2.0,4.0,,,4.0,4.0,,,8.0,,,2.0,44,d
214,,,,,4.0,,,4.0,4.0,4.0,,,8.0,8.0,8.0,2.0,56,w
215,,,,,8.0,,,,8.0,,,,16.0,8.0,2.0,2.0,88,w
216,,,,,8.0,,,,8.0,2.0,,,16.0,8.0,4.0,,92,d
217,,,,,,,2.0,,16.0,2.0,,,16.0,8.0,4.0,,108,w
218,,,,,2.0,,,,16.0,2.0,,2.0,16.0,8.0,4.0,,108,w
219,,,,,2.0,,,,16.0,4.0,,2.0,16.0,8.0,4.0,,112,w
220,,,2.0,,2.0,,,,16.0,4.0,2.0,,16.0,8.0,4.0,,112,w
221,2.0,2.0,,,2.0,,,,16.0,4.0,2.0,,16.0,8.0,4.0,,112,d
222,,,,,,2.0,,2.0,4.0,4.0,2.0,,32.0,8.0,4.0,,148,d
223,,,,,,2.0,,,4.0,4.0,2.0,2.0,32.0,8.0,4.0,2.0,148,d
224,,,4.0,,,2.0,,,4.0,4.0,2.0,,32.0,8.0,4.0,4.0,152,d
225,2.0,,,,,2.0,4.0,,4.0,4.0,2.0,,32.0,8.0,4.0,4.0,152,d
226,,,,2.0,2.0,2.0,4.0,,4.0,4.0,2.0,,32.0,8.0,4.0,4.0,152,d
227,,,,,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,32.0,8.0,4.0,4.0,152,w
228,,,,,4.0,4.0,2.0,,8.0,4.0,,,32.0,8.0,8.0,4.0,176,w
229,,,,,8.0,2.0,2.0,,8.0,4.0,,,32.0,16.0,4.0,,200,d
230,,,,,,2.0,2.0,,16.0,4.0,2.0,,32.0,16.0,4.0,,216,w
231,,,,,4.0,4.0,,,16.0,4.0,2.0,,32.0,16.0,4.0,,220,d
232,,,2.0,,4.0,,,,16.0,8.0,2.0,,32.0,16.0,4.0,,228,w
233,2.0,,,,4.0,,4.0,,16.0,8.0,2.0,,32.0,16.0,4.0,,228,w
234,2.0,,,,8.0,2.0,,,16.0,8.0,2.0,,32.0,16.0,4.0,,236,a
235,2.0,2.0,2.0,,8.0,8.0,4.0,,16.0,16.0,,,32.0,2.0,,,236,d
236,2.0,2.0,,,8.0,8.0,,2.0,16.0,16.0,2.0,,32.0,2.0,4.0,,236,a
237,2.0,2.0,2.0,2.0,8.0,8.0,4.0,,16.0,16.0,2.0,,32.0,2.0,,,236,d
238,2.0,2.0,2.0,,8.0,8.0,2.0,,16.0,16.0,4.0,,32.0,2.0,2.0,2.0,236,d
239,2.0,2.0,,,8.0,8.0,4.0,,16.0,16.0,4.0,2.0,32.0,2.0,2.0,2.0,240,w
240,4.0,,,,16.0,4.0,,2.0,32.0,4.0,2.0,,32.0,4.0,2.0,,296,w
241,4.0,,2.0,,16.0,4.0,2.0,,32.0,4.0,2.0,,32.0,4.0,2.0,,296,w
242,4.0,2.0,,2.0,16.0,4.0,2.0,,32.0,4.0,2.0,,32.0,4.0,2.0,,296,w
243,4.0,4.0,2.0,,16.0,4.0,2.0,,32.0,4.0,2.0,,32.0,4.0,2.0,,300,w
244,8.0,2.0,,2.0,16.0,4.0,2.0,,32.0,4.0,2.0,,32.0,4.0,2.0,,308,w
245,8.0,4.0,,2.0,16.0,4.0,2.0,,32.0,4.0,2.0,,32.0,4.0,2.0,,312,w
246,8.0,4.0,2.0,,16.0,4.0,2.0,,32.0,4.0,2.0,2.0,32.0,4.0,2.0,,312,w
247,8.0,4.0,2.0,,16.0,4.0,2.0,2.0,32.0,4.0,4.0,,32.0,4.0,2.0,,316,w
248,8.0,4.0,2.0,,16.0,4.0,4.0,,32.0,8.0,,,32.0,4.0,2.0,2.0,328,w
249,8.0,4.0,2.0,,16.0,8.0,,,32.0,8.0,2.0,,32.0,4.0,4.0,,340,w
